[2024-11-21 22:55:47,267] multiqc                                            [DEBUG  ]  This is MultiQC v1.21
[2024-11-21 22:55:47,269] multiqc                                            [DEBUG  ]  Command used: /hb/home/snbogan/.conda/envs/multiqc/bin/multiqc fastqc_raw/ -o multiqc_raw/
[2024-11-21 22:55:48,146] multiqc                                            [WARNING]  MultiQC Version v1.25.2 now available!
[2024-11-21 22:55:48,146] multiqc                                            [DEBUG  ]  Latest MultiQC version is v1.25.2, released 2024-11-20
[2024-11-21 22:55:48,146] multiqc                                            [DEBUG  ]  Working dir : /hb/home/snbogan/WGBS/CrossPhox_WGBS
[2024-11-21 22:55:48,146] multiqc                                            [DEBUG  ]  Template    : default
[2024-11-21 22:55:48,146] multiqc                                            [DEBUG  ]  Running Python 3.11.9 | packaged by conda-forge | (main, Apr 19 2024, 18:36:13) [GCC 12.3.0]
[2024-11-21 22:55:48,147] multiqc                                            [DEBUG  ]  Analysing modules: custom_content, ccs, ngsderive, purple, conpair, isoseq, lima, peddy, somalier, methylqa, mosdepth, phantompeakqualtools, qualimap, bamdst, preseq, hifiasm, quast, qorts, rna_seqc, rockhopper, rsem, rseqc, busco, bustools, goleft_indexcov, gffcompare, disambiguate, supernova, deeptools, sargasso, verifybamid, mirtrace, happy, mirtop, sambamba, gopeaks, homer, hops, macs2, theta2, snpeff, gatk, htseq, bcftools, featureCounts, fgbio, dragen, dragen_fastqc, dedup, pbmarkdup, damageprofiler, mapdamage, biobambam2, jcvi, mtnucratio, picard, vep, bakta, prokka, qc3C, nanostat, samblaster, samtools, sexdeterrmine, seqera_cli, eigenstratdatabasetools, bamtools, jellyfish, vcftools, longranger, stacks, varscan2, snippy, umitools, truvari, megahit, bbmap, bismark, biscuit, diamond, hicexplorer, hicup, hicpro, salmon, kallisto, slamdunk, star, hisat2, tophat, bowtie2, bowtie1, cellranger, snpsplit, odgi, pangolin, nextclade, freyja, humid, kat, leehom, librarian, nonpareil, adapterRemoval, bbduk, clipandmerge, cutadapt, flexbar, sourmash, kaiju, bracken, kraken, malt, motus, trimmomatic, sickle, skewer, sortmerna, biobloomtools, fastq_screen, afterqc, fastp, fastqc, filtlong, prinseqplusplus, pychopper, porechop, pycoqc, minionqc, anglerfish, multivcfanalyzer, clusterflow, checkqc, bcl2fastq, bclconvert, interop, ivar, flash, seqyclean, optitype, whatshap, spaceranger, xenome, xengsort, metaphlan, seqwho
[2024-11-21 22:55:48,147] multiqc                                            [DEBUG  ]  Using temporary directory for creating report: /tmp/tmpd3kf344m
[2024-11-21 22:55:48,172] multiqc                                            [INFO   ]  Search path : /hb/home/snbogan/WGBS/CrossPhox_WGBS/fastqc_raw
[2024-11-21 22:56:00,987] multiqc                                            [DEBUG  ]  Summary of files that were skipped by the search: [skipped_module_specific_max_filesize: 4095] // [skipped_no_match: 315]
