Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
N1010_N1_FKDN230330548-1A_H2CTYDSX7_L2_1	N1010_N1_FKDN230330548-1A_H2CTYDSX7_L2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5878322.0	881.7 Mbp	0.0	150.0	19.0	77.62167129738823	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
N1010_N1_FKDN230330548-1A_H2CTYDSX7_L2_2	N1010_N1_FKDN230330548-1A_H2CTYDSX7_L2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5878322.0	881.7 Mbp	0.0	150.0	22.0	78.67591898703016	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
N1010_N1_FKDN230330548-1A_HW7YWDSX5_L3_1	N1010_N1_FKDN230330548-1A_HW7YWDSX5_L3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32720697.0	4.9 Gbp	0.0	150.0	19.0	73.55822528093894	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
N1010_N1_FKDN230330548-1A_HW7YWDSX5_L3_2	N1010_N1_FKDN230330548-1A_HW7YWDSX5_L3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32720697.0	4.9 Gbp	0.0	150.0	22.0	75.39849989304118	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
N1010_U2_FKDN230330569-1A_H2CGWDSX7_L4_1	N1010_U2_FKDN230330569-1A_H2CGWDSX7_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45007119.0	6.7 Gbp	0.0	150.0	19.0	76.05497754422412	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
N1010_U2_FKDN230330569-1A_H2CGWDSX7_L4_2	N1010_U2_FKDN230330569-1A_H2CGWDSX7_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45007119.0	6.7 Gbp	0.0	150.0	22.0	80.2424958001895	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	fail
N1010_U2_FKDN230330569-1A_H2CTYDSX7_L1_1	N1010_U2_FKDN230330569-1A_H2CTYDSX7_L1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4561258.0	684.1 Mbp	0.0	150.0	19.0	76.66667760196665	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	pass
N1010_U2_FKDN230330569-1A_H2CTYDSX7_L1_2	N1010_U2_FKDN230330569-1A_H2CTYDSX7_L1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4561258.0	684.1 Mbp	0.0	150.0	23.0	77.62137487273407	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
N109_N2_FKDN230330549-1A_HWC35DSX5_L4_1	N109_N2_FKDN230330549-1A_HWC35DSX5_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5261666.0	789.2 Mbp	0.0	150.0	18.0	84.5655425879528	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
N109_N2_FKDN230330549-1A_HWC35DSX5_L4_2	N109_N2_FKDN230330549-1A_HWC35DSX5_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5261666.0	789.2 Mbp	0.0	150.0	22.0	85.62001582630175	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
N109_N2_FKDN230330549-1A_HY7MCDSX5_L4_1	N109_N2_FKDN230330549-1A_HY7MCDSX5_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25891656.0	3.8 Gbp	0.0	150.0	18.0	79.53626891273672	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
N109_N2_FKDN230330549-1A_HY7MCDSX5_L4_2	N109_N2_FKDN230330549-1A_HY7MCDSX5_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25891656.0	3.8 Gbp	0.0	150.0	22.0	88.25446887242995	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	warn	fail
N109_U2_FKDN230330568-1A_H2CTYDSX7_L1_1	N109_U2_FKDN230330568-1A_H2CTYDSX7_L1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6578637.0	986.7 Mbp	0.0	150.0	18.0	76.40989228849432	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	pass
N109_U2_FKDN230330568-1A_H2CTYDSX7_L1_2	N109_U2_FKDN230330568-1A_H2CTYDSX7_L1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6578637.0	986.7 Mbp	0.0	150.0	22.0	77.4421488272004	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
N109_U2_FKDN230330568-1A_HW7YWDSX5_L3_1	N109_U2_FKDN230330568-1A_HW7YWDSX5_L3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32619814.0	4.8 Gbp	0.0	150.0	19.0	72.53993078890424	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
N109_U2_FKDN230330568-1A_HW7YWDSX5_L3_2	N109_U2_FKDN230330568-1A_HW7YWDSX5_L3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32619814.0	4.8 Gbp	0.0	150.0	22.0	75.26401130866405	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
N11_N1_FKDN230330530-1A_H2CGWDSX7_L4_2	N11_N1_FKDN230330530-1A_H2CGWDSX7_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41288793.0	6.1 Gbp	0.0	150.0	22.0	81.13977053521234	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	warn	fail
N11_N1_FKDN230330530-1A_H2CTYDSX7_L2_1	N11_N1_FKDN230330530-1A_H2CTYDSX7_L2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5291387.0	793.7 Mbp	0.0	150.0	19.0	77.82819894564598	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
N11_N1_FKDN230330530-1A_H2CTYDSX7_L2_2	N11_N1_FKDN230330530-1A_H2CTYDSX7_L2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5291387.0	793.7 Mbp	0.0	150.0	22.0	78.6373314757015	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
N11_U2_FKDN230330550-1A_H2CGWDSX7_L4_1	N11_U2_FKDN230330550-1A_H2CGWDSX7_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46440985.0	6.9 Gbp	0.0	150.0	19.0	77.33157343418682	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
N11_U2_FKDN230330550-1A_H2CGWDSX7_L4_2	N11_U2_FKDN230330550-1A_H2CGWDSX7_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46440985.0	6.9 Gbp	0.0	150.0	22.0	81.40052095393139	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	warn	fail
N11_U2_FKDN230330550-1A_H2CTYDSX7_L2_1	N11_U2_FKDN230330550-1A_H2CTYDSX7_L2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5337668.0	800.6 Mbp	0.0	150.0	19.0	76.67271268751769	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
N11_U2_FKDN230330550-1A_H2CTYDSX7_L2_2	N11_U2_FKDN230330550-1A_H2CTYDSX7_L2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5337668.0	800.6 Mbp	0.0	150.0	22.0	77.74981460282162	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
N12_N2_FKDN230330531-1A_H2CGWDSX7_L4_1	N12_N2_FKDN230330531-1A_H2CGWDSX7_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36820049.0	5.5 Gbp	0.0	150.0	19.0	78.525559985352	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
N12_N2_FKDN230330531-1A_H2CGWDSX7_L4_2	N12_N2_FKDN230330531-1A_H2CGWDSX7_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36820049.0	5.5 Gbp	0.0	150.0	22.0	82.72538528088538	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	warn	fail
N12_N2_FKDN230330531-1A_H2CTYDSX7_L2_1	N12_N2_FKDN230330531-1A_H2CTYDSX7_L2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3969946.0	595.4 Mbp	0.0	150.0	19.0	79.27406102758829	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
N12_N2_FKDN230330531-1A_H2CTYDSX7_L2_2	N12_N2_FKDN230330531-1A_H2CTYDSX7_L2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3969946.0	595.4 Mbp	0.0	150.0	22.0	80.52555230234906	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
N12_U2_FKDN230330551-1A_H2CTYDSX7_L2_1	N12_U2_FKDN230330551-1A_H2CTYDSX7_L2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6400145.0	960 Mbp	0.0	150.0	19.0	78.63404001942253	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
N12_U2_FKDN230330551-1A_H2CTYDSX7_L2_2	N12_U2_FKDN230330551-1A_H2CTYDSX7_L2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6400145.0	960 Mbp	0.0	150.0	22.0	79.4227725899828	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
N12_U2_FKDN230330551-1A_HW7YWDSX5_L3_1	N12_U2_FKDN230330551-1A_HW7YWDSX5_L3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36085333.0	5.4 Gbp	0.0	150.0	19.0	74.86185325604622	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
