Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
N1010_N1_FKDN230330548-1A_H2CTYDSX7_L2_1	22.378328702611768	19.0	150.0	150	9.090909090909092	5878322.0
N1010_N1_FKDN230330548-1A_H2CTYDSX7_L2_2	21.32408101296984	22.0	150.0	150	18.181818181818183	5878322.0
N1010_N1_FKDN230330548-1A_HW7YWDSX5_L3_1	26.44177471906106	19.0	150.0	150	9.090909090909092	32720697.0
N1010_N1_FKDN230330548-1A_HW7YWDSX5_L3_2	24.601500106958824	22.0	150.0	150	18.181818181818183	32720697.0
N1010_U2_FKDN230330569-1A_H2CGWDSX7_L4_1	23.945022455775884	19.0	150.0	150	9.090909090909092	45007119.0
N1010_U2_FKDN230330569-1A_H2CGWDSX7_L4_2	19.757504199810498	22.0	150.0	150	27.27272727272727	45007119.0
N1010_U2_FKDN230330569-1A_H2CTYDSX7_L1_1	23.333322398033346	19.0	150.0	150	9.090909090909092	4561258.0
N1010_U2_FKDN230330569-1A_H2CTYDSX7_L1_2	22.378625127265934	23.0	150.0	150	18.181818181818183	4561258.0
N109_N2_FKDN230330549-1A_HWC35DSX5_L4_1	15.434457412047195	18.0	150.0	150	9.090909090909092	5261666.0
N109_N2_FKDN230330549-1A_HWC35DSX5_L4_2	14.379984173698247	22.0	150.0	150	18.181818181818183	5261666.0
N109_N2_FKDN230330549-1A_HY7MCDSX5_L4_1	20.463731087263284	18.0	150.0	150	9.090909090909092	25891656.0
N109_N2_FKDN230330549-1A_HY7MCDSX5_L4_2	11.745531127570047	22.0	150.0	150	27.27272727272727	25891656.0
N109_U2_FKDN230330568-1A_H2CTYDSX7_L1_1	23.59010771150568	18.0	150.0	150	9.090909090909092	6578637.0
N109_U2_FKDN230330568-1A_H2CTYDSX7_L1_2	22.5578511727996	22.0	150.0	150	18.181818181818183	6578637.0
N109_U2_FKDN230330568-1A_HW7YWDSX5_L3_1	27.460069211095757	19.0	150.0	150	9.090909090909092	32619814.0
N109_U2_FKDN230330568-1A_HW7YWDSX5_L3_2	24.735988691335947	22.0	150.0	150	18.181818181818183	32619814.0
N11_N1_FKDN230330530-1A_H2CGWDSX7_L4_2	18.860229464787665	22.0	150.0	150	27.27272727272727	41288793.0
N11_N1_FKDN230330530-1A_H2CTYDSX7_L2_1	22.17180105435402	19.0	150.0	150	9.090909090909092	5291387.0
N11_N1_FKDN230330530-1A_H2CTYDSX7_L2_2	21.3626685242985	22.0	150.0	150	18.181818181818183	5291387.0
N11_U2_FKDN230330550-1A_H2CGWDSX7_L4_1	22.668426565813178	19.0	150.0	150	9.090909090909092	46440985.0
N11_U2_FKDN230330550-1A_H2CGWDSX7_L4_2	18.59947904606861	22.0	150.0	150	27.27272727272727	46440985.0
N11_U2_FKDN230330550-1A_H2CTYDSX7_L2_1	23.327287312482312	19.0	150.0	150	9.090909090909092	5337668.0
N11_U2_FKDN230330550-1A_H2CTYDSX7_L2_2	22.250185397178385	22.0	150.0	150	18.181818181818183	5337668.0
N12_N2_FKDN230330531-1A_H2CGWDSX7_L4_1	21.474440014647996	19.0	150.0	150	18.181818181818183	36820049.0
N12_N2_FKDN230330531-1A_H2CGWDSX7_L4_2	17.274614719114624	22.0	150.0	150	27.27272727272727	36820049.0
N12_N2_FKDN230330531-1A_H2CTYDSX7_L2_1	20.72593897241171	19.0	150.0	150	9.090909090909092	3969946.0
N12_N2_FKDN230330531-1A_H2CTYDSX7_L2_2	19.474447697650945	22.0	150.0	150	18.181818181818183	3969946.0
N12_U2_FKDN230330551-1A_H2CTYDSX7_L2_1	21.365959980577472	19.0	150.0	150	9.090909090909092	6400145.0
N12_U2_FKDN230330551-1A_H2CTYDSX7_L2_2	20.5772274100172	22.0	150.0	150	18.181818181818183	6400145.0
N12_U2_FKDN230330551-1A_HW7YWDSX5_L3_1	25.138146743953783	19.0	150.0	150	9.090909090909092	36085333.0
N12_U2_FKDN230330551-1A_HW7YWDSX5_L3_2	23.58846350415901	22.0	150.0	150	18.181818181818183	36085333.0
